"Symbol";"Value";"Unit";
"Alias_3";"";"";
"TE_120276";"45";"";
"TE_120259";"Polyphenylene Sulfide (PPS)";"";
"TE_120258";"Black";"";
"TE_120282_2";".157";"";
"TE_120272";"Vertical";"";
"TE_120273";"3";"";
"Series";"Alcoswitch DIP,Alcoswitch DIP ADE";"";
"TE_902581";"Yes";"";
"TE_120275";"Tube";"";
"TE_902394";"Copper Alloy";"";
"TE_120263";"-30 – 85";"";
"SUPPLIER";"TE Connectivity";"";
"TE_120261";"No";"";
"REFERENCE";"1825057-2";"";
"TE_120284";"UL 94V-0";"";
"TraceParts.PartTitle";"DIP & SIP Switches";"";
"TE_120269_1";"3.5";"";
"TE_904572";"Slide";"";
"DESIGN";"ADE0304=DIP SWITCH,EXT,THRU/HL - ADE0304";"";
"TraceParts.PartNumber";"10-30072018-077387";"";
"TE_120283";"";"";
"TraceParts.PartVersion";"1.0.5";"";
"TRACEPARTS";"TRACEPARTS";"";
"TE_120268_2";"1.2";"";
"TE_120269_2";".138";"";
"TE_905358";"Gold over Nickel";"";
"TE_120255_1";"2.54";"";
"TE_905815";"Single Pole - Single Throw";"";
"URL";"https://www.te.com/usa-en/product-1825057-2.html?te_bu=Cor&te_bu=Cor&te_type=other&te_campaign=trp_glo_buylink-pdp&elqCampaignId=29714";"";
"TE_120270_1";"9.6";"";
"TE_120255_2";".1";"";
"TraceParts.InstanceId";"10-30072018-07738780BJMMDD6WZVLS4P5XY3ORPCO";"";
"TE_904565";"White";"";
"Alias_2";"";"";
"TE_904960";"3";"";
"Alias_1";"ADE0304";"";
"TE_120282_1";"4";"";
"TE_120270_2";".377";"";
"TE_120257";"Gold Flash";"";
"TE_120254";"Through Hole";"";
"TraceParts.PartLanguage";"en";"";
"TE_120253";"5";"";
"TE_120251";"1";"";
"TE_120248";"Switch";"";
"TE_120249";"DIP";"";
