"Symbol";"Value";"Unit";
"TE_109643";"Black";"";
"TE_901870";"No";"";
"TE_903246";"Through Hole - Solder";"";
"TE_109645";"Polyester - GF";"";
"TE_903248";"Vertical";"";
"TraceParts.PartNumber";"10-28072018-065343";"";
"TE_901869";"6";"";
"TRACEPARTS";"TRACEPARTS";"";
"TE_109670";"UL 94V-0";"";
"TE_109637";"Socket";"";
"TraceParts.PartLanguage";"en";"";
"DESIGN";"6P HV100 REC CON. TE, 7.0MM";"";
"TE_903250";"With";"";
"TraceParts.PartTitle";"Board-to-Board Headers & Receptacles";"";
"SUPPLIER";"TE Connectivity";"";
"TE_901806";"Printed Circuit Board";"";
"TE_901847_1";"2.54";"";
"URL";"https://www.te.com/usa-en/product-215297-6.html?te_bu=Cor&te_bu=Cor&te_type=other&te_campaign=trp_glo_buylink-pdp&elqCampaignId=29714";"";
"REFERENCE";"215297-6";"";
"Series";"AMPMODU";"";
"TE_109622";"Gold";"";
"TraceParts.PartVersion";"1.0.7";"";
"TE_109624";"Tray";"";
"TraceParts.InstanceId";"10-28072018-0653438TVF38BS49JJLOL4XZMPY8UH7";"";
"TE_904370";"";"";
"TE_109657_1";"1.6";"";
