"Symbol";"Value";"Unit";
"width_mm";"9.10mm";"";
"orientation";"Straight";"";
"operating_temp";"-40 to +105°C";"";
"termination_method";"Thru Hole";"";
"insulator_material";"PBT";"";
"current_rating";"3A";"";
"width_in";"0.358""";"";
"REFERENCE";"SBH11-PBPC-D08-ST-BK";"";
"TraceParts.InstanceId";"90-12122024-04440778P2ST6ENTHNY6M228NL8S6AD";"";
"gender";"Male";"";
"pitch_in";"0.100""";"";
"height_in";"0.358""";"";
"TraceParts.PartTitle";"SBH11-PBPC-D08-ST-BK";"";
"DESIGN";"SBH11-PBPC-D08-ST-BK - 8/16 - Straight - Thru Hole - PBT - Gold Flash - Gold Flash";"";
"contact_material";"Brass";"";
"rows";"2";"";
"SUPPLIER";"Sullins Connector Solutions";"";
"TraceParts.PartVersion";"1.0.1";"";
"TraceParts.PartNumber";"90-12122024-044407";"";
"pitch_mm";"2.54mm";"";
"plating_termination";"Gold Flash";"";
"height_mm";"9.10mm";"";
"tail_length";"0.118""";"";
"tail_length_mm";"3.00mm";"";
"TRACEPARTS";"TRACEPARTS";"";
"positions_contacts";"8/16";"";
"TraceParts.PartLanguage";"en";"";
"type";"Box Header";"";
"processing_temp";"Wave/Manual Soldering Only";"";
"plating";"Gold Flash";"";
